band_name,fans,formed,origin,split,style
Anorexia Nervosa,166,1995,France,1995,"Symphonic black,Industrial"
Charon,166,1992,Finland,2011,"Suomi,Death"
Suicide Silence,166,2002,USA,2002,Deathcore
Vomitory,166,1989,Sweden,2013,Death
Born Of Osiris,165,2003,USA,2003,Progressive deathcore
Sleep,165,1990,USA,,Stoner
Unearth,165,1998,USA,1998,Metalcore
Forest Of Shadows,164,1997,Sweden,,"Death doom,Atmospheric doom"
Goatwhore,164,1997,USA,1997,"Blackened thrash,Blackened death"
Noumena,164,1998,Finland,,Melodic death
Stream Of Passion,164,2005,The Netherlands,2005,Symphonic progressive
White Zombie,164,1985,USA,1998,"Noise rock,Alternative thrash,Industrial"
Onslaught,162,1983,United Kingdom,1983,Thrash
Thin Lizzy,162,1969,Ireland,,"Hard rock,Heavy"
Ulcerate,162,2000,New Zealand,2000,Technical death
Battlelore,161,1999,Finland,,"Folk,Power"
Black Sun Aeon,161,2008,Finland,2008,"Melodic death,Doom"
Lacrimas Profundere,161,1993,Germany,,"Doom,Gothic"
Nocturnal Rites,161,1990,Sweden,1990,Power
Heathen,160,1984,USA,,Bay area thrash
Pelican,160,2001,USA,2001,Instrumental post-metal
Acid Bath,159,1990,USA,1997,"Doom,Sludge"
Amberian Dawn,158,2006,Finland,2006,Symphonic power
Converge,158,1990,USA,,"Metalcore,Hardcore,Post-hardcore,Punk"
Serenity,158,2001,Austria,2001,Symphonic power
Star One,158,2002,The Netherlands,,Progressive
Mar De Grises,157,2000,Chile,2000,Doom
Wolfheart,157,2013,Finland,,Melodic death
Darkspace,156,1999,Switzerland,1999,Ambient black
Legion Of The Damned,156,2005,The Netherlands,,"Thrash,Death"
Liquid Tension Experiment,155,1998,USA,1998,"Progressive,Instrumental"
Tarot,155,1985,Finland,,Power
The Sins Of Thy Beloved,154,1996,Norway,1996,Symphonic gothic
The Vision Bleak,154,2000,Germany,,Gothic
Fallujah,153,2007,USA,2007,"Progressive death,Technical deathcore"
Witherscape,153,2013,Sweden,,"Atmospheric death,Extreme progressive"
Einherjer,152,1993,Norway,1993,Viking folk
Primus,152,1984,USA,,"Alternative,Experimental rock"
Sunn O))),152,1998,USA,1998,"Drone doom,Dark,Ambient"
Airbourne,151,2001,Australia,,Hard rock
Decrepit Birth,151,2001,USA,2001,"Brutal death,Technical death"
Grand Magus,151,1996,Sweden,,"Doom,Heavy"
Uriah Heep,151,1969,United Kingdom,1969,Hard rock
Flotsam And Jetsam,150,1983,USA,,Thrash
Blotted Science,149,2005,USA,2005,"Progressive,Instrumental"
Limbonic Art,149,1993,Norway,,"Symphonic black,Black"
Shadow Gallery,149,1985,USA,1985,Progressive
Fen,148,2006,United Kingdom,,"Atmospheric black,Post-rock"
Skyfire,148,1995,Sweden,1995,Extreme power
Corrosion Of Conformity,146,1982,USA,,Stoner
Vanden Plas,146,1990,Germany,1990,"Power,Progressive"
Halford,145,1999,United Kingdom,,Heavy
In Extremo,145,1995,Germany,1995,Medieval folk
Mg?a,145,2000,Poland,,Black
Solution .45,145,2007,Sweden,2007,Melodic death
Whispered,145,2001,Finland,,Extreme power
Diamond Head,144,1976,United Kingdom,1976,"New wave of british heavy,Heavy"
Hate,144,1990,Poland,,Death
God Dethroned,143,1990,The Netherlands,1990,"Death,Thrash"
Vreid,143,2004,Norway,,Black
In The Silence,142,2009,USA,2009,Progressive
Static-X,142,1994,USA,2013,"Nu,Industrial,Alternative"
Nachtmystium,141,2000,USA,2000,"Black,Psychedelic black"
Royal Hunt,141,1989,Denmark,,Symphonic power
Xasthur,141,1995,USA,1995,Depressive black
Suicidal Angels,140,2001,Greece,,Thrash
Wolfchant,140,2003,Germany,2003,"Pagan folk,Melodic death"
ReVamp,139,2009,The Netherlands,2016,"Symphonic,Progressive"
Sadus,139,1984,USA,1984,"Death,Technical thrash"
Blackfield,138,2000,Israel,,"Progressive rock,Avantgarde rock"
Nightrage,138,2000,"Greece, Sweden",2000,Melodic death
The 69 Eyes,138,1990,Finland,,"Gothic,Glam rock,Gothic rock,Punk rock"
Pyramaze,137,2001,Denmark,2001,Progressive power
Serj Tankian,137,2007,USA,,"Alternative,Hard rock"
Gloryhammer,136,2010,United Kingdom,2010,Power
Hour Of Penance,136,1999,Italy,,Brutal death
Kalisia,136,1994,France,1994,Progressive death
Nargaroth,136,1996,Germany,,Black
Trail Of Tears,136,1996,Norway,1996,Gothic
Sanctuary,135,1985,USA,,Us power
Woods Of Desolation,135,2005,Australia,2005,Atmospheric black
Agathodaimon,134,1995,Germany,2014,"Symphonic black,Extreme gothic"
Sinergy,134,1997,"Sweden, Finland",1997,"Heavy,Power"
Sonic Syndicate,134,2002,Sweden,,"Gothenburg,Metalcore"
Wuthering Heights,134,1989,Denmark,1989,"Progressive power,Folk"
I,133,2006,Norway,,Blackened heavy
Heavenwood,132,1992,Portugal,1992,"Death,Gothic,Gothic doom"
Pig Destroyer,132,1997,USA,,Grindcore
Doro,131,1987,Germany,1987,"Hard rock,Heavy"
Incantation,131,1989,USA,,Death
Virgin Steele,131,1981,USA,1981,"Heavy,Symphonic"
Anvil,130,1978,Canada,,Heavy
Bal-Sagoth,130,1989,United Kingdom,1989,"Symphonic black,Power"
Crowbar,130,1989,USA,,Sludge
Mourning Beloveth,130,1992,Ireland,1992,Death doom
Oranssi Pazuzu,130,2007,Finland,,Psychedelic black
Saor,130,2013,United Kingdom,2013,"Atmospheric black,Folk"
Ancient Bards,129,2006,Italy,,Symphonic power
Dark Lunacy,129,1997,Italy,1997,"Melodic death,Symphonic"
Fairyland,129,1998,France,,Symphonic power
Gama Bomb,129,2002,Ireland,2002,Thrash
In The Woods...,129,1991,Norway,,"Black,Avantgarde,Progressive"
Leviathan,129,1998,USA,1998,Ambient black
Sybreed,129,2003,Switzerland,2013,"Groove thrash,Industrial"
Spiritual Beggars,127,1992,Sweden,1992,"Heavy,Stoner"
In This Moment,126,2005,USA,,"Melodic metalcore,Alternative"
Saint Vitus,126,1979,USA,1979,Doom
U.D.O.,126,1987,Germany,,Heavy
Atreyu,125,1998,USA,1998,"Melodic metalcore,Alternative"
Communic,125,2003,Norway,,Progressive
Godflesh,125,1988,United Kingdom,1988,Industrial
Nightingale,125,1994,Sweden,,"Gothic,Progressive"
Anubis Gate,124,2001,Denmark,2001,"Progressive,Power"
Deströyer 666,124,1994,"Australia, United Kingdom",,Blackened thrash
Europe,124,1979,Sweden,1979,"Heavy,Hard rock"
Pentagram,124,1971,USA,,Doom
Zyklon,124,1998,Norway,1998,"Black,Death"
Aeon,122,1999,Sweden,,Death
Orden Ogan,122,1996,Germany,1996,"Medieval folk,Power"
Skyclad,122,1990,United Kingdom,,Folk
Stormlord,122,1991,Italy,1991,Symphonic black
X Japan,122,1982,Japan,,Power
Aquilus,121,2000,Australia,2000,"Atmospheric black,Symphonic black,Ambient"
Hail Spirit Noir,121,2010,Greece,,"Blackened progressive,Psychedelic rock"
Wine From Tears,121,2002,Russia,2002,Death doom
Amesoeurs,120,2004,France,2009,"Black,Shoegaze"
Kampfar,120,1994,Norway,1994,"Black,Folk"
Unisonic,120,2009,Germany,,"Melodic power,Hard rock"
Visions Of Atlantis,120,2000,Austria,2000,Symphonic
Karnivool,119,1996,Australia,,"Alternative,Progressive"
OSI,119,2003,USA,2003,Progressive
Ouroboros,119,2001,Australia,,"Technical death,Thrash"
Russian Circles,119,2004,USA,2004,Post-metal
Vulture Industries,119,1998,Norway,,"Avantgarde,Progressive"
Blue Öyster Cult,118,1967,USA,1967,Hard rock
Drowning Pool,118,1996,USA,,Alternative
Hellhammer,118,1982,Switzerland,1982,First wave of black
Benediction,117,1989,United Kingdom,,Death
Blood Red Throne,117,1998,Norway,1998,Death
Gwar,117,1985,USA,,"Alternative,Thrash,Hardcore,Punk"
Illnath,117,1997,Denmark,1997,Symphonic black
Crimson Glory,116,1982,USA,,Progressive heavy
James LaBrie,116,1998,Canada,1998,Progressive
Witchcraft,116,2000,Sweden,,Stoner
Darkest Hour,115,1995,USA,1995,"Melodic death,Metalcore"
Otep,115,2000,USA,,"Nu,Alternative"
Red Fang,115,2005,USA,2005,"Stoner,Stoner rock"
Sacred Reich,115,1985,USA,,"Speed,Thrash"
Solefald,115,1995,Norway,1995,"Progressive black,Avantgarde"
Solitude Aeturnus,115,1987,USA,,Doom
Cruachan,114,1992,Ireland,1992,Celtic folk
D.R.I.,114,1982,USA,,"Crossover thrash,Hardcore,Punk"
Exhumed,114,1991,USA,1991,Deathgrind
Forefather,114,1997,United Kingdom,,"Folk,Black"
The Ruins Of Beverast,114,2003,Germany,2003,"Black,Doom"
Vision Divine,114,1998,Italy,,Power
Dokken,113,1977,USA,1977,Heavy
Hollenthon,113,1994,Austria,,"Symphonic,Melodic death"
Mägo De Oz,113,1989,Spain,1989,"Heavy,Folk"
Tribulation,113,2001,Sweden,,"Thrash,Death,Black"
Battle Beast,112,2008,Finland,2008,Heavy
Bring Me The Horizon,112,2004,United Kingdom,,"Metalcore,Deathcore,Post-hardcore"
Ex Deo,112,2008,Canada,2008,Symphonic death
Metsatöll,112,1999,Estonia,,"Heavy,Folk"
Skepticism,112,1991,Finland,1991,Funeral doom
Dordeduh,111,2009,Romania,,Atmospheric black
Redemption,111,2000,USA,2000,Progressive
Scale The Summit,111,2004,USA,,"Progressive,Instrumental"
Vildhjarta,111,2005,Sweden,2005,"Progressive math,Djent"
Blood Stain Child,110,2000,Japan,,"Extreme power,Trancecore,Melodic death"
Gorefest,110,1989,The Netherlands,1989,"Death,Hard rock"
Intronaut,110,2004,USA,,"Post-metal,Atmospheric sludge"
Monster Magnet,110,1989,USA,1989,Stoner
Sinister,110,1989,The Netherlands,,Death
Impaled Nazarene,109,1990,Finland,1990,"Black,Grindcore,Crust punk"
Kiuas,109,2000,Finland,2013,Power
While Heaven Wept,109,1989,USA,1989,"Doom,Progressive power"
Brymir,108,2006,Finland,,Extreme folk
Celesty,108,1998,Finland,1998,Power
Darkseed,108,1992,Germany,,Gothic
Die Apokalyptischen Reiter,108,1995,Germany,1995,"Death,Heavy"
Gris,108,2006,Canada,,Depressive black
Orange Goblin,108,1995,United Kingdom,1995,Stoner
The Crown,108,1998,Sweden,,"Death,Thrash"
Theocracy,108,2002,USA,2002,Progressive power
Violator,108,2002,Brazil,,Thrash
Mechina,107,2004,USA,2004,Industrial death
Necrophobic,107,1989,Sweden,,Death
Om,107,2003,USA,2003,"Stoner,Drone doom"
Vesania,107,1997,Poland,,Symphonic black
Lifelover,106,2005,Sweden,2005,"Depressive black,Post-punk"
The Kovenant,106,1998,Norway,,Industrial
Monstrosity,105,1990,USA,1990,Death
Persuader,104,1997,Sweden,,"Power,Heavy"
Razor,104,1984,Canada,1984,Thrash
Svartsot,104,2005,Denmark,,Folk
Avatarium,103,2013,Sweden,2013,Doom
Caliban,103,1997,Germany,,Metalcore
Graveyard,103,2006,Sweden,2006,"Hard rock,Blues rock"
Hail Of Bullets,103,2006,The Netherlands,,Death
Melvins,103,1984,USA,1984,"Sludge,Doom"
Oomph!,103,1989,Germany,,"E,B,M ,Industrial,Industrial rock,Industrial"
UnSun,103,2006,Poland,2006,Gothic
Vio-lence,103,1985,USA,2005,Thrash
Abbath,102,2015,Norway,2015,Black
Angelus Apatrida,102,2000,Spain,,Thrash
Blackmore's Night,102,1997,United Kingdom,1997,Folk rock
Labyrinth,102,1991,Italy,,Progressive power
Shining (NOR),102,1999,Norway,1999,"Jazz,Experimental,Jazz ,Avantgarde"
Steel Panther,102,2000,USA,,"Glam,Hard rock"
Toxik,102,1985,USA,1985,Technical thrash
Tsjuder,102,1993,Norway,,Black
Bilocate,101,2003,Jordan,2003,"Blackened death,Death doom,Extreme progressive"
Brainstorm,101,1989,Germany,,Power
ColdWorld,101,2005,Germany,2005,Ambient black
Forgotten Tomb,101,1999,Italy,,"Doom,Black,Melodic black"
Nasum,101,1993,Sweden,1993,Grindcore
Beherit,100,1989,Finland,,"Black,Ambient"
Lord Belial,100,1992,Sweden,1992,Black
Marillion,100,1979,United Kingdom,,Progressive rock
Deadlock,99,1997,Germany,1997,"Alternative,Melodic metalcore,Melodic death"
Dominia,99,1999,Russia,,"Symphonic death,Melodic death,Gothic"
Lazarus A.D.,99,2005,USA,2005,Thrash
Midnattsol,99,2002,Norway,,"Folk,Gothic"
Pathfinder,99,2006,Poland,2006,Symphonic power
Skyforger,99,1991,Latvia,,"Black,Folk"
Thurisaz,99,1997,Belgium,1997,"Atmospheric black,Death doom"
Altar Of Plagues,98,2006,Ireland,2013,"Black,Post-metal"
Angel Witch,98,1977,United Kingdom,1977,"New wave of british heavy,Heavy"
Cephalic Carnage,98,1992,USA,,Grindcore
Demon Hunter,98,2000,USA,2000,Metalcore
Neurotech,98,2007,Slovenia,,"Industrial,Symphonic"
Thy Light,98,2005,Brazil,2005,Depressive black
Abigail Williams,97,2005,USA,,"Symphonic black,Metalcore,Atmospheric black"
Aura Noir,97,1993,Norway,1993,"Black,Thrash"
Enforcer,97,2005,Sweden,,"Heavy,Speed"
Hell,97,1982,United Kingdom,1982,"New wave of british heavy,Heavy"
Jesu,97,2003,United Kingdom,,"Drone,Shoegaze ,Post-metal"
Obscure Sphinx,97,2008,Poland,2008,"Post-metal,Doom,Sludge"
Prong,97,1986,USA,,"Thrash,Industrial"
Earth,96,1990,USA,1990,"Drone doom,Psychedelic rock"
Killing Joke,96,1979,United Kingdom,,"Industrial,Post-,Punk,Darkwave"
Mr. Bungle,96,1985,USA,1985,Avantgarde
MyGrain,96,2004,Finland,2015,Gothenburg
October Falls,96,2001,Finland,2001,"Doom,Folk,Ambient black"
Trees Of Eternity,96,2008,Finland,,Gothic doom
Wilderun,96,2012,USA,2012,Symphonic folk
Disillusion,95,1994,Germany,,"Extreme progressive,Progressive"
Dreamtale,95,1998,Finland,1998,Power
Mushroomhead,95,1993,USA,,"Alternative,Industrial,Nu"
Officium Triste,95,1994,The Netherlands,1994,Death doom
Rosetta,95,2003,USA,,"Post-metal,Sludge"
Silencer,95,1995,Sweden,1995,Black
Trollfest,95,2004,Norway,,Folk
Varg,95,2005,Germany,2005,"Melodic black,Pagan folk"
Angtoria,94,2004,United Kingdom,2011,Symphonic
Blackguard,94,2001,Canada,2001,"Gothic,Folk,Power"
Dir En Grey,94,1997,Japan,,Alternative
Forest Stream,94,1995,Russia,1995,Doom
Morbid Saint,94,1986,USA,,Thrash
Terrorizer,94,1986,USA,1986,"Grindcore,Death"
Threat Signal,94,2004,Canada,,Melodic death
Axxis,93,1988,Germany,1988,"Heavy,Power"
Carnifex,93,2005,USA,,Deathcore
Eyehategod,93,1988,USA,1988,"Doom,Sludge"
Riot V,93,1976,USA,,"Heavy,Hard rock"
Stormwarrior,93,1998,Germany,1998,Power
Terra Tenebrosa,93,2009,Sweden,,"Avantgarde,Ambient"
Theatres Des Vampires,93,1994,Italy,1994,"Symphonic black,Gothic"
Witchery,93,1997,Sweden,,Thrash
Darkane,92,1998,Sweden,1998,"Death,Thrash"
Diabolical Masquerade,92,1993,Sweden,2004,Avantgarde black
Gotthard,92,1992,Switzerland,1992,Hard rock
Isole,92,1990,Sweden,,Epic doom
Dan Swanö,91,1998,Sweden,1998,Extreme progressive
Deeds Of Flesh,91,1993,USA,,Brutal death
Thunderstone,91,2000,Finland,2000,"Power,Heavy"
Warning,91,1993,United Kingdom,2009,Epic doom
Xerath,91,2007,United Kingdom,2007,Symphonic math
40 Watt Sun,90,2009,United Kingdom,,Doom
Allen/Lande,90,2005,USA,2005,Heavy
KMFDM,90,1984,Germany,,"Industrial,Dance"
Savage Circus,90,2004,Germany,2004,Power
Beseech,89,1992,Sweden,,Gothic
King Of Asgard,89,2008,Sweden,2008,Viking black
Machinae Supremacy,89,2000,Sweden,,Power
Pallbearer,89,2008,USA,2008,Doom
Ratt,89,1983,USA,,"Glam,Hard rock"
The Absence,89,2002,USA,2002,Melodic death
The Project Hate MCMXCIX,89,1998,Sweden,,Industrial death
Voyager,89,1999,Australia,1999,Symphonic progressive
Demolition Hammer,88,1986,USA,,Thrash
Entwine,88,1999,Finland,1999,Suomi
Kivimetsän Druidi,88,2002,Finland,,Symphonic folk
Mordab,88,2001,Iran,2001,Progressive death
Skálmöld,88,2009,Iceland,,Viking folk
Warmen,88,2000,Finland,2000,Progressive power
Agent Steel,87,1984,USA,,"Speed,Thrash"
Anata,87,1993,Sweden,1993,Technical death
Andromeda,87,1999,Sweden,,Progressive
Brujeria,87,1989,Mexico,1989,"Grindcore,Death"
Enthroned,87,1993,Belgium,,Black
Lantlôs,87,2005,Germany,2005,"Atmospheric black,Post-rock"
Mnemic,87,1998,Denmark,,"Industrial,Nu"
Penumbra,87,1996,France,1996,Symphonic gothic
Veil Of Maya,87,2004,USA,,Deathcore
Augury,86,2001,Canada,2001,Technical death
Austere,86,2007,Australia,2010,Depressive black
Northern Kings,86,2007,Finland,2007,Symphonic
Portal,86,1994,Australia,,Experimental death
Rata Blanca,86,1985,Argentina,1985,"Heavy,Hard rock,Power"
To/Die/For,86,1993,Finland,2016,Suomi
UFO,85,1969,United Kingdom,1969,"Hard rock,Heavy"
Fields Of The Nephilim,84,1984,United Kingdom,,"Gothic rock,Gothic,Death"
Helevorn,84,1999,Spain,1999,Gothic doom
Lunatica,84,1998,Switzerland,,Symphonic power
Aenaon,83,2005,Greece,2005,Progressive black
At Vance,83,1998,Germany,,"Heavy,Power"
Behexen,83,1994,Finland,1994,Black
Holy Grail,83,2008,USA,,"Heavy,Power"
Zonaria,83,2001,Sweden,2001,"Power,Melodic death"
Dark The Suns,82,2005,Finland,2013,Gothic
Funeral,82,1991,Norway,1991,"Funeral doom,Doom"
Hellyeah,82,2006,USA,,Groove heavy
Jag Panzer,82,1981,USA,1981,Us power
Mournful Congregation,82,1993,Australia,,Funeral doom
Ragnarok,82,1994,Norway,1994,Black
Wodensthrone,82,2005,United Kingdom,2016,Atmospheric black
Yob,82,1996,USA,1996,"Doom,Stoner"
An Autumn For Crippled Children,81,2008,The Netherlands,,"Atmospheric black,Post-rock,Shoegaze"
Flowing Tears,81,1999,Germany,1999,Gothic
Helstar,81,1982,USA,,"Power,Speed,Thrash"
Mezarkabul,81,1987,Turkey,1987,"Heavy,Thrash"
The 3rd And The Mortal,81,1992,Norway,2005,"Atmospheric doom,Experimental doom,Jazz rock"
Abigor,80,1993,Austria,1993,Black
Bonded By Blood,80,2005,USA,,Thrash
Sabbat,80,1985,United Kingdom,1985,Pagan thrash
Slash,80,2009,USA,,"Hard rock,Blues rock"
Turmion Kätilöt,80,2003,Finland,2003,Industrial
Almah,79,2006,Brazil,,"Power,Heavy"
Anciients,79,2010,Canada,2010,Progressive
Ark,79,1990,Norway,2011,"Heavy,Progressive"
Blindead,79,1999,Poland,1999,"Progressive,Post-metal"
Cobalt,79,2003,USA,,Black
Devourment,79,1995,USA,1995,Brutal death
Divine Heresy,79,2006,USA,,Death
Gehenna,79,1993,Norway,1993,Black
Grim Reaper,79,1979,United Kingdom,1988,"Heavy,New wave of british heavy"
Iron Fire,79,1995,Denmark,1995,"Speed,Power,Heavy"
Nervecell,79,2000,UAE,,"Hardcore,Death"
Nortt,79,1995,Denmark,1995,"Funeral doom,Black"
Versailles,79,2007,Japan,,"J rock,Power"
Ancient Rites,78,1988,Belgium,1988,Viking black
Crimfall,78,2007,Finland,,Symphonic folk
Exumer,78,1985,Germany,1985,Thrash
Fractal Gates,78,2007,France,,Melodic death
Hirax,78,1984,USA,1984,Thrash
Lethian Dreams,78,2002,France,,Atmospheric doom
Mystic Prophecy,78,2000,Germany,2000,Power
Stam1na,78,1996,Finland,,"Alternative thrash,Progressive"
Winterfylleth,78,2007,United Kingdom,2007,"Atmospheric black,Pagan black"
Abysmal Dawn,77,2003,USA,,Death
Arkan,77,2005,France,2005,"Melodic death,Oriental folk"
DGM,77,1994,Italy,,Progressive
Diabulus In Musica,77,2006,Spain,2006,Symphonic
Fair To Midland,77,1998,USA,,"Progressive,Alternative"
God Forbid,77,1996,USA,1996,"Melodic thrash,Metalcore"
In Solitude,77,2002,Sweden,2015,Heavy
Kittie,77,1996,Canada,1996,"Nu,Alternative"
Marty Friedman,77,1988,USA,,"Neoclassical heavy,Progressive"
Power Quest,77,2001,United Kingdom,2001,Power
Reverend Bizarre,77,1994,Finland,2007,Doom
SikTh,77,2001,United Kingdom,2001,"Math,Progressive metalcore"
Skinless,77,1992,USA,,Brutal death
Stormtroopers Of Death,77,1985,USA,1985,"Crossover thrash,Hardcore,Punk"
The Angelic Process,77,1999,USA,2007,"Drone,Ambient,Shoegaze"
Urgehal,77,1992,Norway,1992,Black
Armored Saint,76,1982,USA,,Heavy
Brutal Truth,76,1990,USA,1990,Grindcore
For My Pain,76,1999,Finland,,Suomi
Madder Mortem,76,1993,Norway,1993,"Avantgarde,Gothic"
Mirrorthrone,76,2000,Switzerland,,Avantgarde
Neuraxis,76,1994,Canada,1994,Technical death
Thrawsunblat,76,2009,Canada,,Blackened folk
Thulcandra,76,2003,Germany,2003,"Melodic black,Melodic death"
Ajattara,75,1996,Finland,2012,Black
Aria,75,1985,Russia,1985,Heavy
Boris,75,1992,Japan,,"Drone doom,Psychedelic stoner"
Despised Icon,75,2002,Canada,2002,Deathcore
Hibria,75,1996,Brazil,,Heavy
Imperanon,75,1999,Finland,1999,"Extreme power,Melodic death"
Manilla Road,75,1976,USA,,"Heavy,Power"
Shaman,75,2000,Brazil,2000,Progressive power
Vallenfyre,75,2010,United Kingdom,,Death
Alkaloid,74,2014,Germany,2014,Extreme progressive
Bloodbound,74,2004,Sweden,,Heavy
Caligula's Horse,74,2011,Australia,2011,"Alternative,Progressive"
Damageplan,74,2003,USA,2004,Groove metal
Demonaz,74,2007,Norway,2007,Viking black
Ektomorf,74,1994,Hungary,,"Groove thrash,Hardcore"
Elis,74,2003,Liechtenstein,2003,Gothic
Nocturnus AD,74,1986,USA,,"Atmospheric death,Technical death"
Sarcófago,74,1985,Brazil,1985,"Black,Thrash,Death"
Warrel Dane,74,2007,USA,,"Gothic,Gothic rock"
Whiplash,74,1984,USA,1984,Thrash
Beneath The Massacre,73,2004,Canada,,"Brutal death,Technical death"
Blaze Bayley,73,2007,United Kingdom,2007,Heavy
Bloodshot Dawn,73,2003,United Kingdom,,Melodic death
Colosseum,73,2006,Finland,2006,Funeral doom
Derdian,73,1998,Italy,,Symphonic power
Godgory,73,1992,Sweden,1992,Melodic death
Halestorm,73,1998,USA,,Hard rock
Process Of Guilt,73,2002,Portugal,2002,"Doom,Atmospheric sludge"
